mysql,7,10,0.7
javascript,6,10,0.6
html,7,10,0.7
jquery,9,10,0.9
arrays,8,10,0.8
ajax,8,10,0.8
wordpress,9,10,0.9
sql,8,10,0.8
codeigniter,10,10,1.0
regex,9,10,0.9
forms,6,10,0.6
json,8,10,0.8
apache,6,10,0.6
database,6,10,0.6
.htaccess,10,10,1.0
symfony2,9,10,0.9
laravel,10,10,1.0
xml,8,10,0.8
zend-framework,9,10,0.9
curl,8,10,0.8
session,7,10,0.7
pdo,9,10,0.9
css,3,10,0.3
mysqli,8,10,0.8
facebook,9,10,0.9
cakephp,10,10,1.0
email,3,10,0.3
magento,8,10,0.8
yii,9,10,0.9
laravel-4,10,10,1.0
oop,8,10,0.8
string,8,10,0.8
post,7,10,0.7
image,8,10,0.8
function,7,10,0.7
variables,7,10,0.7
api,5,10,0.5
date,10,10,1.0
mod-rewrite,10,10,1.0
android,4,10,0.4
security,4,10,0.4
foreach,7,10,0.7
multidimensional-array,7,10,0.7
redirect,6,10,0.6
url,4,10,0.4
class,10,10,1.0
validation,5,10,0.5
java,5,10,0.5
doctrine2,10,10,1.0
linux,6,10,0.6
file-upload,4,10,0.4
joomla,6,10,0.6
cookies,5,10,0.5
loops,5,10,0.5
facebook-graph-api,9,10,0.9
file,8,10,0.8
drupal,7,10,0.7
soap,4,10,0.4
datetime,9,10,0.9
login,1,10,0.1
preg-replace,8,10,0.8
parsing,8,10,0.8
csv,6,10,0.6
if-statement,2,10,0.2
zend-framework2,10,10,1.0
html5,1,10,0.1
upload,4,10,0.4
paypal,5,10,0.5
preg-match,7,10,0.7
sorting,6,10,0.6
phpmyadmin,4,10,0.4
search,3,10,0.3
get,5,10,0.5
sql-server,3,10,0.3
doctrine,10,10,1.0
performance,5,10,0.5
web-services,3,10,0.3
table,2,10,0.2
pdf,3,10,0.3
utf-8,9,10,0.9
simplexml,10,10,1.0
object,9,10,0.9
phpunit,6,10,0.6
mongodb,9,10,0.9
dom,9,10,0.9
select,5,10,0.5
http,4,10,0.4
include,6,10,0.6
authentication,5,10,0.5
caching,5,10,0.5
cron,2,10,0.2
pagination,2,10,0.2
twitter,5,10,0.5
xampp,0,10,0.0
python,2,10,0.2
rest,2,10,0.2
encryption,8,10,0.8
wordpress-plugin,4,10,0.4
gd,6,10,0.6
smarty,6,10,0.6
