mysql,5,10,0.5
javascript,7,10,0.7
html,6,10,0.6
jquery,6,10,0.6
arrays,8,10,0.8
ajax,7,10,0.7
wordpress,5,10,0.5
sql,8,10,0.8
codeigniter,6,10,0.6
regex,9,10,0.9
forms,5,10,0.5
json,7,10,0.7
apache,6,10,0.6
database,6,10,0.6
.htaccess,10,10,1.0
symfony2,9,10,0.9
laravel,9,10,0.9
xml,8,10,0.8
zend-framework,9,10,0.9
curl,7,10,0.7
session,7,10,0.7
pdo,8,10,0.8
css,1,10,0.1
mysqli,7,10,0.7
facebook,8,10,0.8
cakephp,7,10,0.7
email,2,10,0.2
magento,8,10,0.8
yii,7,10,0.7
laravel-4,9,10,0.9
oop,9,10,0.9
string,7,10,0.7
post,7,10,0.7
image,8,10,0.8
function,8,10,0.8
variables,6,10,0.6
api,4,10,0.4
date,7,10,0.7
mod-rewrite,10,10,1.0
android,5,10,0.5
security,3,10,0.3
foreach,6,10,0.6
multidimensional-array,7,10,0.7
redirect,2,10,0.2
url,3,10,0.3
class,8,10,0.8
validation,6,10,0.6
java,6,10,0.6
doctrine2,8,10,0.8
linux,5,10,0.5
file-upload,4,10,0.4
joomla,4,10,0.4
cookies,5,10,0.5
loops,7,10,0.7
facebook-graph-api,9,10,0.9
file,6,10,0.6
drupal,6,10,0.6
soap,4,10,0.4
datetime,8,10,0.8
login,0,10,0.0
preg-replace,9,10,0.9
parsing,5,10,0.5
csv,5,10,0.5
if-statement,2,10,0.2
zend-framework2,9,10,0.9
html5,0,10,0.0
upload,4,10,0.4
paypal,4,10,0.4
preg-match,8,10,0.8
sorting,6,10,0.6
phpmyadmin,2,10,0.2
search,3,10,0.3
get,5,10,0.5
sql-server,5,10,0.5
doctrine,8,10,0.8
performance,4,10,0.4
web-services,2,10,0.2
table,2,10,0.2
pdf,3,10,0.3
utf-8,9,10,0.9
simplexml,10,10,1.0
object,9,10,0.9
phpunit,5,10,0.5
mongodb,8,10,0.8
dom,7,10,0.7
select,6,10,0.6
http,4,10,0.4
include,5,10,0.5
authentication,4,10,0.4
caching,5,10,0.5
cron,2,10,0.2
pagination,1,10,0.1
twitter,5,10,0.5
xampp,0,10,0.0
python,2,10,0.2
rest,2,10,0.2
encryption,7,10,0.7
wordpress-plugin,4,10,0.4
gd,6,10,0.6
smarty,7,10,0.7
